idVoo, CodCliente, TipoVoo, CompanhiaVoo, DataVoo, CidadeOrigem
652,4,Normal,Gol,21/07/2015,Curitiba
775,4,Promocional,Azul,14/09/2015,Floripa
545,4,Normal,Tam,08/11/2015,Vila Velha
593,5,Normal,Azul,09/04/2014,Sao Paulo
422,5,Normal,Azul,19/05/2014,Porto Alegre
958,5,Normal,Tam,27/08/2014,Salvador
388,5,Normal,Tam,17/09/2014,Sao Paulo
209,5,Promocional,Gol,21/10/2014,Floripa
203,5,Promocional,Tam,10/11/2014,Belo Horizonte
13,5,Promocional,Gol,06/01/2015,Rio
293,5,Promocional,Tam,04/02/2015,Belo Horizonte
403,5,Promocional,Tam,07/02/2015,Sao Paulo
785,5,Promocional,Tam,04/03/2015,Fortaleza
180,5,Normal,Azul,07/05/2015,Porto Alegre
602,5,Promocional,Gol,21/08/2015,Porto Alegre
885,5,Promocional,Tam,22/09/2015,Belo Horizonte
973,5,Promocional,Gol,23/11/2015,Belo Horizonte
237,5,Promocional,Tam,19/12/2015,Sao Paulo
536,5,Normal,Tam,26/12/2015,Bonito
423,6,Promocional,Azul,27/01/2014,Rio
937,6,Promocional,Tam,03/03/2014,Curitiba
854,6,Promocional,Tam,04/03/2014,Vila Velha
7,6,Normal,Gol,22/05/2014,Manaus
577,6,Normal,Gol,03/06/2014,Vila Velha
617,6,Promocional,Azul,17/07/2014,Floripa
876,6,Promocional,Tam,28/09/2014,Manaus
832,6,Promocional,Tam,09/10/2014,Bonito
733,6,Promocional,Azul,15/11/2014,Belo Horizonte
570,6,Normal,Azul,16/02/2015,Floripa
338,6,Promocional,Azul,31/05/2015,Rio
98,6,Normal,Gol,15/08/2015,Manaus
749,6,Promocional,Gol,17/10/2015,Rio
895,7,Normal,Gol,25/01/2014,Sao Paulo
881,7,Normal,Gol,30/01/2014,Fortaleza
707,7,Promocional,Gol,15/02/2014,Floripa
695,7,Promocional,Gol,16/02/2014,Fortaleza
896,7,Normal,Gol,13/04/2014,Vila Velha
763,7,Normal,Azul,11/05/2014,Sao Paulo
559,7,Normal,Tam,14/05/2014,Rio
514,7,Promocional,Azul,11/06/2014,Rio
144,7,Promocional,Azul,31/08/2014,Vila Velha
665,7,Normal,Gol,18/03/2015,Bonito
841,7,Normal,Gol,03/04/2015,Sao Paulo
474,7,Normal,Tam,19/07/2015,Porto Alegre
684,7,Promocional,Azul,30/07/2015,Manaus
408,8,Promocional,Azul,20/01/2014,Sao Paulo
541,8,Normal,Gol,29/06/2014,Curitiba
453,8,Normal,Gol,25/08/2014,Floripa
915,8,Normal,Tam,08/11/2014,Rio
35,8,Promocional,Azul,18/12/2014,Fortaleza
607,8,Normal,Gol,25/03/2015,Fortaleza
164,8,Promocional,Tam,16/10/2015,Manaus
302,8,Normal,Gol,27/11/2015,Floripa
860,8,Promocional,Gol,29/12/2015,Belo Horizonte
659,9,Promocional,Gol,25/03/2014,Porto Alegre
378,9,Normal,Azul,04/04/2014,Vila Velha
566,9,Promocional,Tam,19/07/2014,Bonito
497,9,Promocional,Gol,28/09/2014,Salvador
166,9,Normal,Azul,25/10/2014,Vila Velha
305,9,Normal,Gol,28/10/2014,Belo Horizonte
887,9,Normal,Azul,07/11/2014,Rio
986,9,Normal,Azul,07/12/2014,Curitiba
178,9,Promocional,Tam,27/01/2015,Sao Paulo
770,9,Normal,Gol,08/02/2015,Curitiba
49,9,Promocional,Azul,25/04/2015,Salvador
911,9,Normal,Tam,07/05/2015,Bonito
216,9,Promocional,Tam,30/07/2015,Vila Velha
300,9,Normal,Gol,29/11/2015,Manaus
729,9,Normal,Gol,05/12/2015,Sao Paulo
610,10,Promocional,Gol,23/01/2014,Curitiba
376,10,Normal,Tam,16/03/2014,Curitiba
247,10,Normal,Azul,12/06/2014,Floripa
742,10,Normal,Tam,03/12/2014,Porto Alegre
294,10,Normal,Gol,22/01/2015,Sao Paulo
966,10,Normal,Azul,07/04/2015,Fortaleza
892,10,Promocional,Gol,08/05/2015,Rio
176,10,Normal,Tam,12/05/2015,Porto Alegre
273,10,Promocional,Gol,05/06/2015,Vila Velha
913,10,Normal,Gol,11/06/2015,Bonito
907,10,Promocional,Gol,19/06/2015,Floripa
853,10,Normal,Azul,15/08/2015,Sao Paulo
634,10,Promocional,Azul,12/09/2015,Vila Velha
12,10,Normal,Tam,16/09/2015,Salvador
796,10,Promocional,Gol,08/10/2015,Curitiba
251,10,Normal,Tam,25/10/2015,Curitiba
919,10,Normal,Azul,16/11/2015,Sao Paulo
870,10,Promocional,Tam,20/11/2015,Salvador
782,11,Promocional,Azul,13/01/2014,Belo Horizonte
332,11,Promocional,Azul,16/02/2014,Sao Paulo
959,11,Normal,Azul,17/02/2014,Manaus
56,11,Promocional,Tam,26/02/2014,Rio
772,11,Normal,Azul,19/04/2014,Belo Horizonte
83,11,Promocional,Gol,09/05/2014,Floripa
982,11,Normal,Tam,16/07/2014,Rio
309,11,Normal,Azul,09/08/2014,Floripa
663,11,Normal,Gol,27/11/2014,Belo Horizonte
109,11,Normal,Azul,05/01/2015,Floripa
533,11,Normal,Tam,16/04/2015,Sao Paulo
394,11,Normal,Tam,04/05/2015,Salvador
588,11,Normal,Tam,05/05/2015,Vila Velha
377,11,Promocional,Gol,08/05/2015,Rio
776,11,Promocional,Gol,24/07/2015,Fortaleza
260,11,Promocional,Tam,31/08/2015,Belo Horizonte
85,11,Normal,Tam,29/11/2015,Curitiba
245,12,Promocional,Tam,27/03/2014,Porto Alegre
678,12,Promocional,Gol,03/05/2014,Fortaleza
288,12,Promocional,Gol,19/06/2014,Vila Velha
58,12,Promocional,Tam,05/07/2014,Floripa
658,12,Promocional,Gol,22/07/2014,Curitiba
383,12,Normal,Gol,16/08/2014,Manaus
904,12,Normal,Azul,28/11/2014,Manaus
856,12,Normal,Azul,23/12/2014,Rio
641,12,Promocional,Tam,05/01/2015,Salvador
386,12,Normal,Azul,07/01/2015,Fortaleza
518,12,Promocional,Gol,31/03/2015,Vila Velha
196,12,Promocional,Gol,14/04/2015,Belo Horizonte
572,12,Promocional,Tam,06/05/2015,Salvador
508,12,Promocional,Azul,13/08/2015,Fortaleza
517,12,Promocional,Azul,20/10/2015,Rio
353,12,Normal,Tam,25/10/2015,Sao Paulo
27,12,Promocional,Azul,16/12/2015,Vila Velha
11,12,Normal,Gol,24/12/2015,Manaus
211,13,Promocional,Gol,18/12/2014,Belo Horizonte
308,13,Normal,Tam,08/01/2015,Floripa
467,13,Promocional,Tam,15/01/2015,Sao Paulo
399,13,Promocional,Gol,10/04/2015,Belo Horizonte
277,13,Promocional,Tam,11/05/2015,Manaus
815,13,Promocional,Gol,14/05/2015,Salvador
816,13,Normal,Gol,09/06/2015,Floripa
405,13,Normal,Azul,19/07/2015,Vila Velha
385,13,Normal,Tam,23/09/2015,Fortaleza
359,13,Normal,Gol,11/10/2015,Sao Paulo
908,13,Promocional,Azul,26/10/2015,Bonito
350,14,Normal,Azul,03/04/2014,Curitiba
270,14,Normal,Azul,18/06/2014,Belo Horizonte
39,14,Promocional,Azul,24/06/2014,Vila Velha
544,14,Promocional,Tam,25/06/2014,Salvador
897,14,Promocional,Tam,23/07/2014,Belo Horizonte
640,14,Normal,Gol,17/09/2014,Belo Horizonte
901,14,Promocional,Azul,16/12/2014,Curitiba
721,14,Promocional,Tam,16/12/2014,Sao Paulo
563,14,Normal,Gol,22/01/2015,Porto Alegre
355,14,Normal,Azul,16/03/2015,Sao Paulo
158,14,Promocional,Tam,27/04/2015,Sao Paulo
687,14,Promocional,Azul,29/09/2015,Floripa
78,14,Promocional,Tam,10/12/2015,Manaus
459,15,Promocional,Azul,03/01/2014,Salvador
661,15,Normal,Azul,02/03/2014,Belo Horizonte
668,15,Promocional,Azul,16/04/2014,Rio
53,15,Normal,Gol,25/04/2014,Bonito
494,15,Promocional,Azul,25/07/2014,Floripa
115,15,Promocional,Tam,14/08/2014,Belo Horizonte
310,15,Normal,Azul,16/11/2014,Curitiba
820,15,Normal,Gol,10/01/2015,Vila Velha
252,15,Promocional,Azul,27/02/2015,Belo Horizonte
339,15,Normal,Azul,09/03/2015,Belo Horizonte
875,15,Normal,Tam,30/04/2015,Vila Velha
491,15,Normal,Tam,01/05/2015,Bonito
672,15,Promocional,Azul,11/08/2015,Floripa
448,15,Promocional,Gol,28/08/2015,Curitiba
936,15,Normal,Gol,07/09/2015,Floripa
475,15,Promocional,Tam,29/09/2015,Curitiba
868,16,Promocional,Gol,10/01/2014,Fortaleza
632,16,Promocional,Azul,14/02/2014,Rio
306,16,Promocional,Gol,28/05/2014,Sao Paulo
54,16,Promocional,Tam,21/06/2014,Vila Velha
507,16,Promocional,Azul,19/10/2014,Bonito
898,16,Normal,Tam,30/10/2014,Manaus
146,16,Promocional,Tam,02/12/2014,Bonito
670,16,Promocional,Tam,13/01/2015,Belo Horizonte
977,16,Promocional,Gol,08/03/2015,Porto Alegre
811,16,Normal,Gol,19/04/2015,Bonito
75,16,Promocional,Azul,10/08/2015,Belo Horizonte
605,16,Promocional,Gol,23/08/2015,Curitiba
568,16,Normal,Azul,11/09/2015,Curitiba
753,16,Normal,Azul,20/10/2015,Manaus
60,17,Normal,Tam,21/02/2014,Vila Velha
925,17,Normal,Azul,05/04/2014,Fortaleza
939,17,Promocional,Gol,06/08/2014,Salvador
256,17,Promocional,Gol,09/11/2014,Rio
921,17,Normal,Tam,23/11/2014,Curitiba
589,17,Normal,Tam,05/12/2014,Curitiba
113,17,Promocional,Tam,13/01/2015,Rio
626,17,Normal,Gol,06/04/2015,Sao Paulo
395,17,Normal,Tam,18/04/2015,Salvador
523,17,Promocional,Tam,09/05/2015,Belo Horizonte
558,17,Promocional,Azul,12/05/2015,Bonito
549,17,Normal,Gol,27/07/2015,Salvador
194,17,Normal,Tam,06/08/2015,Rio
555,17,Promocional,Tam,02/10/2015,Salvador
794,17,Promocional,Tam,30/10/2015,Salvador
244,18,Normal,Tam,05/04/2014,Porto Alegre
528,18,Normal,Tam,22/05/2014,Porto Alegre
224,18,Promocional,Tam,17/08/2014,Porto Alegre
768,18,Normal,Azul,06/01/2015,Belo Horizonte
218,18,Promocional,Tam,01/02/2015,Floripa
80,18,Promocional,Gol,27/06/2015,Vila Velha
537,19,Promocional,Azul,05/01/2014,Manaus
809,19,Promocional,Tam,02/03/2014,Fortaleza
793,19,Normal,Azul,05/05/2014,Manaus
118,19,Normal,Azul,13/11/2014,Porto Alegre
739,19,Normal,Azul,14/11/2014,Rio
132,19,Promocional,Azul,04/07/2015,Sao Paulo
241,19,Promocional,Gol,08/07/2015,Floripa
598,19,Normal,Azul,21/07/2015,Porto Alegre
582,19,Normal,Gol,07/09/2015,Curitiba
361,19,Normal,Azul,26/10/2015,Porto Alegre
981,19,Normal,Azul,01/11/2015,Floripa
847,19,Promocional,Azul,25/11/2015,Vila Velha
173,19,Promocional,Tam,30/12/2015,Fortaleza
603,20,Promocional,Tam,03/01/2014,Fortaleza
712,20,Normal,Tam,01/07/2014,Sao Paulo
513,20,Promocional,Tam,15/08/2014,Porto Alegre
478,20,Normal,Gol,10/10/2014,Rio
992,20,Promocional,Tam,04/12/2014,Fortaleza
375,20,Normal,Tam,19/12/2014,Belo Horizonte
596,20,Normal,Azul,22/12/2014,Curitiba
792,20,Normal,Gol,23/01/2015,Salvador
221,20,Normal,Gol,09/02/2015,Manaus
681,20,Normal,Gol,24/03/2015,Floripa
795,20,Normal,Gol,25/03/2015,Floripa
304,20,Promocional,Gol,14/05/2015,Curitiba
138,20,Normal,Azul,11/06/2015,Porto Alegre
970,20,Promocional,Gol,26/06/2015,Sao Paulo
923,20,Promocional,Tam,19/07/2015,Porto Alegre
106,20,Normal,Azul,01/10/2015,Porto Alegre
540,20,Normal,Gol,03/11/2015,Belo Horizonte
569,20,Promocional,Tam,04/12/2015,Bonito
317,21,Promocional,Tam,10/01/2014,Manaus
253,21,Promocional,Gol,17/01/2014,Floripa
783,21,Normal,Azul,18/03/2014,Belo Horizonte
337,21,Promocional,Azul,20/06/2014,Bonito
30,21,Promocional,Azul,03/08/2014,Floripa
217,21,Promocional,Tam,23/10/2014,Bonito
450,21,Normal,Azul,11/11/2014,Porto Alegre
888,21,Promocional,Azul,13/01/2015,Vila Velha
704,21,Promocional,Azul,27/02/2015,Floripa
591,21,Promocional,Tam,04/04/2015,Bonito
963,21,Normal,Tam,20/05/2015,Porto Alegre
398,21,Normal,Gol,22/05/2015,Belo Horizonte
50,21,Normal,Gol,06/08/2015,Rio
342,21,Promocional,Azul,12/08/2015,Floripa
191,21,Promocional,Tam,20/08/2015,Curitiba
633,21,Promocional,Azul,28/08/2015,Sao Paulo
599,21,Normal,Azul,11/10/2015,Fortaleza
950,21,Promocional,Tam,18/10/2015,Fortaleza
250,21,Normal,Gol,29/10/2015,Salvador
16,21,Normal,Gol,21/11/2015,Sao Paulo
387,22,Normal,Gol,24/01/2014,Fortaleza
208,22,Promocional,Azul,01/03/2014,Bonito
526,22,Normal,Azul,13/03/2014,Salvador
999,22,Promocional,Gol,12/05/2014,Vila Velha
482,22,Normal,Gol,12/05/2014,Belo Horizonte
585,22,Promocional,Azul,23/09/2014,Rio
710,22,Promocional,Tam,12/10/2014,Bonito
843,22,Promocional,Gol,04/01/2015,Vila Velha
905,22,Promocional,Azul,11/02/2015,Curitiba
99,22,Promocional,Gol,23/02/2015,Manaus
941,22,Promocional,Azul,24/04/2015,Porto Alegre
95,22,Promocional,Gol,17/06/2015,Manaus
261,22,Promocional,Gol,27/12/2015,Fortaleza
679,23,Normal,Gol,17/03/2014,Porto Alegre
228,23,Normal,Tam,19/05/2014,Salvador
214,23,Promocional,Tam,31/05/2014,Salvador
94,23,Promocional,Tam,06/08/2014,Manaus
493,23,Promocional,Tam,18/08/2014,Salvador
103,23,Normal,Tam,14/01/2015,Sao Paulo
931,23,Normal,Gol,15/04/2015,Curitiba
351,23,Normal,Tam,21/04/2015,Vila Velha
160,23,Normal,Tam,19/05/2015,Manaus
732,23,Promocional,Azul,24/05/2015,Porto Alegre
81,23,Normal,Tam,06/09/2015,Manaus
631,23,Promocional,Gol,07/11/2015,Floripa
594,24,Normal,Azul,24/01/2014,Porto Alegre
464,24,Normal,Azul,07/05/2014,Rio
400,24,Normal,Tam,23/07/2014,Porto Alegre
496,24,Promocional,Tam,13/10/2014,Sao Paulo
624,24,Normal,Gol,10/01/2015,Salvador
951,24,Promocional,Gol,22/04/2015,Belo Horizonte
708,24,Promocional,Gol,17/07/2015,Vila Velha
1000,24,Normal,Tam,31/07/2015,Salvador
79,24,Normal,Gol,31/07/2015,Manaus
532,24,Normal,Gol,20/09/2015,Porto Alegre
454,25,Normal,Tam,01/05/2014,Manaus
864,25,Promocional,Azul,26/06/2014,Rio
14,25,Normal,Tam,27/07/2014,Curitiba
581,25,Normal,Gol,01/01/2015,Vila Velha
290,25,Promocional,Gol,02/03/2015,Bonito
903,25,Promocional,Gol,01/04/2015,Salvador
673,25,Promocional,Tam,19/08/2015,Bonito
928,25,Normal,Azul,27/08/2015,Curitiba
642,25,Promocional,Azul,30/09/2015,Belo Horizonte
873,26,Promocional,Gol,02/01/2014,Rio
804,26,Normal,Azul,03/03/2014,Bonito
984,26,Promocional,Azul,14/03/2014,Rio
964,26,Normal,Azul,16/03/2014,Curitiba
205,26,Normal,Tam,17/05/2014,Bonito
743,26,Normal,Azul,09/06/2014,Vila Velha
645,26,Normal,Gol,21/08/2014,Fortaleza
212,26,Normal,Gol,26/08/2014,Porto Alegre
162,26,Normal,Azul,29/08/2014,Belo Horizonte
484,26,Promocional,Azul,30/11/2014,Bonito
189,26,Normal,Azul,15/12/2014,Vila Velha
360,26,Promocional,Tam,18/12/2014,Curitiba
675,26,Normal,Tam,10/01/2015,Salvador
413,26,Promocional,Gol,10/09/2015,Curitiba
321,26,Promocional,Tam,22/12/2015,Salvador
116,27,Promocional,Tam,02/04/2014,Vila Velha
834,27,Promocional,Gol,04/09/2014,Salvador
690,27,Promocional,Tam,25/10/2014,Fortaleza
878,27,Normal,Tam,03/11/2014,Salvador
715,27,Promocional,Azul,13/11/2014,Fortaleza
767,27,Normal,Gol,27/11/2014,Belo Horizonte
829,27,Normal,Gol,11/12/2014,Fortaleza
824,27,Promocional,Azul,05/01/2015,Vila Velha
867,27,Normal,Azul,02/03/2015,Rio
757,27,Normal,Gol,30/05/2015,Manaus
380,27,Promocional,Gol,10/06/2015,Belo Horizonte
243,27,Normal,Gol,17/06/2015,Belo Horizonte
965,27,Normal,Azul,13/09/2015,Porto Alegre
122,27,Normal,Gol,19/11/2015,Porto Alegre
910,27,Normal,Azul,27/11/2015,Belo Horizonte
202,28,Normal,Azul,16/01/2014,Bonito
865,28,Normal,Gol,06/02/2014,Belo Horizonte
255,28,Promocional,Tam,20/02/2014,Sao Paulo
531,28,Promocional,Tam,24/05/2014,Curitiba
613,28,Normal,Azul,28/06/2014,Curitiba
139,28,Normal,Gol,14/07/2014,Floripa
234,28,Normal,Tam,13/08/2014,Floripa
145,28,Normal,Tam,21/08/2014,Belo Horizonte
723,28,Normal,Tam,24/09/2014,Salvador
872,28,Promocional,Azul,05/10/2014,Bonito
612,28,Normal,Azul,12/10/2014,Sao Paulo
606,28,Promocional,Azul,18/01/2015,Rio
384,28,Promocional,Tam,08/04/2015,Bonito
604,28,Promocional,Tam,03/08/2015,Rio
314,28,Normal,Tam,01/12/2015,Rio
152,28,Promocional,Azul,27/12/2015,Manaus
20,29,Normal,Tam,21/04/2014,Salvador
515,29,Promocional,Tam,21/07/2014,Salvador
264,29,Normal,Tam,08/11/2014,Belo Horizonte
345,29,Promocional,Gol,04/12/2014,Manaus
127,29,Normal,Gol,10/01/2015,Salvador
926,29,Normal,Tam,04/02/2015,Sao Paulo
848,29,Promocional,Azul,18/02/2015,Curitiba
745,29,Promocional,Gol,23/03/2015,Rio
327,29,Promocional,Azul,04/06/2015,Rio
126,29,Normal,Tam,15/07/2015,Belo Horizonte
105,29,Normal,Tam,22/07/2015,Salvador
267,29,Normal,Tam,13/08/2015,Bonito
258,29,Normal,Tam,31/08/2015,Sao Paulo
807,29,Promocional,Tam,27/09/2015,Salvador
59,30,Promocional,Azul,08/04/2014,Belo Horizonte
259,30,Normal,Gol,20/04/2014,Vila Velha
850,30,Normal,Gol,29/04/2014,Salvador
752,30,Promocional,Tam,30/04/2014,Manaus
805,30,Promocional,Gol,04/05/2014,Salvador
364,30,Promocional,Gol,05/05/2014,Vila Velha
374,30,Normal,Gol,22/06/2014,Manaus
790,30,Normal,Gol,06/07/2014,Salvador
623,30,Promocional,Azul,29/12/2014,Porto Alegre
240,30,Normal,Tam,25/01/2015,Porto Alegre
740,30,Promocional,Gol,28/02/2015,Rio
483,30,Promocional,Gol,09/04/2015,Bonito
479,30,Normal,Gol,11/06/2015,Vila Velha
643,30,Promocional,Azul,01/07/2015,Rio
429,30,Promocional,Tam,30/07/2015,Porto Alegre
969,30,Promocional,Tam,18/08/2015,Manaus
998,30,Normal,Azul,17/10/2015,Belo Horizonte
440,30,Promocional,Tam,31/10/2015,Curitiba
57,30,Normal,Tam,17/11/2015,Belo Horizonte
808,30,Promocional,Gol,07/12/2015,Fortaleza
548,31,Normal,Gol,11/02/2014,Bonito
204,31,Normal,Gol,29/03/2014,Salvador
449,31,Normal,Azul,13/05/2014,Rio
465,31,Normal,Tam,08/06/2014,Vila Velha
810,31,Promocional,Azul,22/06/2014,Sao Paulo
444,31,Normal,Azul,26/08/2014,Sao Paulo
750,31,Normal,Gol,04/09/2014,Sao Paulo
924,31,Normal,Gol,10/11/2014,Manaus
238,31,Promocional,Azul,16/11/2014,Rio
433,31,Normal,Azul,26/11/2014,Rio
185,31,Promocional,Gol,28/11/2014,Bonito
286,31,Promocional,Tam,06/12/2014,Vila Velha
812,31,Promocional,Tam,27/01/2015,Salvador
325,31,Normal,Gol,14/02/2015,Vila Velha
26,31,Normal,Gol,11/08/2015,Porto Alegre
736,31,Promocional,Tam,09/09/2015,Porto Alegre
328,31,Normal,Tam,17/09/2015,Sao Paulo
590,31,Normal,Tam,06/11/2015,Salvador
771,31,Normal,Gol,18/11/2015,Salvador
104,32,Normal,Tam,23/01/2014,Porto Alegre
929,32,Normal,Azul,17/02/2014,Floripa
73,32,Promocional,Tam,26/05/2014,Vila Velha
190,32,Normal,Tam,20/09/2014,Sao Paulo
313,32,Normal,Tam,18/11/2014,Porto Alegre
210,32,Normal,Gol,28/02/2015,Salvador
235,32,Normal,Gol,07/03/2015,Belo Horizonte
331,32,Normal,Tam,05/06/2015,Manaus
297,32,Promocional,Azul,26/10/2015,Sao Paulo
747,33,Normal,Gol,16/02/2014,Salvador
485,33,Promocional,Tam,04/03/2014,Sao Paulo
2,33,Promocional,Gol,21/03/2014,Fortaleza
292,33,Normal,Gol,29/03/2014,Floripa
356,33,Normal,Azul,24/05/2014,Vila Velha
466,33,Normal,Azul,25/06/2014,Floripa
909,33,Promocional,Azul,22/10/2014,Floripa
367,33,Normal,Azul,11/02/2015,Salvador
530,33,Promocional,Gol,24/02/2015,Manaus
492,33,Promocional,Tam,22/05/2015,Porto Alegre
137,33,Normal,Tam,14/11/2015,Sao Paulo
879,34,Promocional,Azul,23/10/2014,Bonito
709,34,Promocional,Azul,27/10/2014,Manaus
597,34,Promocional,Gol,16/03/2015,Vila Velha
198,34,Normal,Azul,20/06/2015,Sao Paulo
576,34,Promocional,Azul,28/07/2015,Sao Paulo
206,35,Promocional,Tam,10/05/2014,Salvador
397,35,Promocional,Gol,04/06/2014,Porto Alegre
289,35,Normal,Tam,21/08/2014,Floripa
425,35,Normal,Azul,27/11/2014,Bonito
863,35,Promocional,Azul,23/01/2015,Fortaleza
322,35,Normal,Tam,30/04/2015,Fortaleza
991,35,Promocional,Gol,01/05/2015,Curitiba
242,35,Normal,Gol,21/07/2015,Rio
621,35,Normal,Gol,11/09/2015,Vila Velha
33,35,Promocional,Azul,21/10/2015,Belo Horizonte
177,35,Normal,Gol,09/12/2015,Fortaleza
967,35,Normal,Tam,26/12/2015,Floripa
174,36,Normal,Azul,10/01/2014,Manaus
989,36,Promocional,Azul,20/02/2014,Curitiba
506,36,Normal,Azul,21/04/2014,Belo Horizonte
469,36,Promocional,Tam,22/04/2014,Bonito
979,36,Normal,Gol,16/07/2014,Sao Paulo
182,36,Normal,Gol,26/08/2014,Sao Paulo
8,36,Promocional,Azul,13/02/2015,Bonito
546,36,Normal,Gol,04/03/2015,Vila Velha
268,36,Promocional,Tam,19/05/2015,Belo Horizonte
813,36,Promocional,Tam,15/06/2015,Sao Paulo
510,36,Promocional,Gol,23/06/2015,Porto Alegre
817,36,Normal,Tam,27/06/2015,Rio
914,36,Normal,Gol,10/10/2015,Porto Alegre
117,36,Normal,Azul,20/12/2015,Fortaleza
311,37,Promocional,Gol,05/02/2014,Belo Horizonte
942,37,Normal,Tam,10/02/2014,Sao Paulo
25,37,Promocional,Tam,02/05/2014,Belo Horizonte
183,37,Promocional,Gol,16/06/2014,Belo Horizonte
819,37,Promocional,Azul,30/07/2014,Sao Paulo
488,37,Normal,Tam,23/10/2014,Bonito
121,37,Promocional,Azul,24/10/2014,Salvador
112,37,Promocional,Azul,28/10/2014,Curitiba
777,37,Normal,Azul,01/11/2014,Salvador
579,37,Promocional,Gol,19/12/2014,Belo Horizonte
445,37,Promocional,Tam,28/12/2014,Floripa
831,37,Promocional,Azul,16/01/2015,Curitiba
463,37,Promocional,Azul,29/01/2015,Salvador
638,37,Normal,Gol,18/02/2015,Belo Horizonte
348,37,Normal,Gol,05/06/2015,Sao Paulo
851,37,Normal,Azul,02/08/2015,Salvador
365,37,Promocional,Azul,14/10/2015,Vila Velha
416,38,Promocional,Azul,04/02/2014,Fortaleza
646,38,Promocional,Gol,25/03/2014,Vila Velha
686,38,Normal,Azul,14/05/2014,Sao Paulo
505,38,Normal,Gol,26/05/2014,Vila Velha
232,38,Promocional,Tam,06/06/2014,Bonito
481,38,Normal,Tam,09/06/2014,Bonito
575,38,Normal,Tam,21/10/2014,Fortaleza
968,38,Normal,Azul,12/11/2014,Curitiba
891,38,Normal,Gol,14/12/2014,Curitiba
124,38,Normal,Tam,09/01/2015,Fortaleza
938,38,Normal,Azul,07/04/2015,Floripa
427,38,Promocional,Tam,13/06/2015,Salvador
167,38,Normal,Tam,28/11/2015,Salvador
680,38,Promocional,Azul,20/12/2015,Manaus
457,39,Normal,Azul,05/04/2014,Salvador
396,39,Promocional,Azul,01/05/2014,Porto Alegre
412,39,Normal,Tam,06/07/2014,Porto Alegre
930,39,Promocional,Tam,20/08/2014,Vila Velha
441,39,Normal,Tam,30/10/2014,Floripa
738,39,Normal,Tam,18/04/2015,Floripa
307,39,Promocional,Gol,21/07/2015,Fortaleza
731,39,Promocional,Tam,02/12/2015,Rio
188,39,Normal,Gol,02/12/2015,Rio
858,39,Promocional,Tam,06/12/2015,Belo Horizonte
918,40,Normal,Azul,03/01/2014,Porto Alegre
814,40,Promocional,Gol,01/02/2014,Curitiba
3,40,Normal,Tam,18/03/2014,Belo Horizonte
424,40,Normal,Azul,15/04/2014,Rio
